"genotype_name","genotype_id","treatment","location","rep","Pod_branches_5C","Flower_branches_5C","Non.fertile_nodes_5C","Total_nodes_5C","Proportion_pod_nodes_5C","Proportion_floral_nodes_5C","Pod_nodes_versus_DAV_5C","Pod_branches_10C","Flower_branches_10C","Non.fertile_nodes_10C","Total_nodes_10C","Proportion_pod_nodes_10C","Proportion_floral_nodes_10C","Pod_nodes_versus_DAV_10C","Pod_branches_tenminusfive","Flower_branches_tenminusfive","Non.fertile_nodes_tenminusfive","Total_nodes_tenminusfive","Proportion_pod_nodes_tenminusfive","Proportion_floral_nodes_tenminusfive","Pod_nodes_versus_DAV_tenminusfive"
"Capitol","a-0000028","branching",1,1,6,0,1,7,0.857142857,0,"0.010327022",7,2,0,9,0.777777778,0.222222222,0.008838384,1,2,-1,2,-0.079365079,0.222222222,"-0.001488639"
"Capitol","a-0000028","branching",1,2,6,1,1,8,0.75,0.125,"0.009036145",7,0,4,11,0.636363636,0,0.007231405,1,-1,3,3,-0.113636364,-0.125,"-0.00180474"
"Capitol","a-0000028","branching",2,3,6,1,0,7,0.857142857,0.142857143,"0.010327022",6,1,0,7,0.857142857,0.142857143,0.00974026,0,0,0,0,0,0,"-0.000586763"
"Apex","a-0000040","branching",1,1,3,0,2,5,0.6,0,"0.006818182",5,0,2,7,0.714285714,0,0.007936508,2,0,0,2,0.114285714,0,"0.001118326"
"Apex","a-0000040","branching",1,2,4,1,0,5,0.8,0.2,"0.009090909",2,0,1,3,0.666666667,0,0.007168459,-2,-1,1,-2,-0.133333333,-0.2,"-0.00192245"
"Apex","a-0000040","branching",2,3,3,0,2,5,0.6,0,"0.007058824",4,0,4,8,0.5,0,0.005681818,1,0,2,3,-0.1,0,"-0.001377005"
"Expert","a-0000055","branching",1,1,5,0,0,5,1,0,"0.012048193",5,0,0,5,1,0,0.011764706,0,0,0,0,0,0,"-0.000283487"
"Expert","a-0000055","branching",1,2,5,0,0,5,1,0,"0.011764706",6,0,0,6,1,0,0.011363636,1,0,0,1,0,0,"-0.00040107"
"Expert","a-0000055","branching",2,3,5,1,0,6,0.833333333,0.166666667,"0.010288066",7,1,0,8,0.875,0.125,0.010802469,2,0,0,2,0.041666667,-0.041666667,"0.000514403"
"APEX-93_5_X_GINYOU_3_DH_LINE","a-0000090","branching",1,1,8,3,0,11,0.727272727,0.272727273,"0.008978676",8,2,0,10,0.8,0.2,0.010810811,0,-1,0,-1,0.072727273,-0.072727273,"0.001832135"
"APEX-93_5_X_GINYOU_3_DH_LINE","a-0000090","branching",1,2,8,2,0,10,0.8,0.2,"0.009876543",6,1,0,7,0.857142857,0.142857143,0.011583012,-2,-1,0,-3,0.057142857,-0.057142857,"0.001706468"
"APEX-93_5_X_GINYOU_3_DH_LINE","a-0000090","branching",2,3,NA,NA,NA,NA,NA,NA,"",7,0,0,7,1,0,0.013513514,NA,NA,NA,NA,NA,NA,""
"CANBERRA_x_COURAGE_DH_LINE","a-0000093","branching",1,1,5,0,2,7,0.714285714,0,"0.008403361",6,0,5,11,0.545454545,0,0.006198347,1,0,3,4,-0.168831169,0,"-0.002205014"
"CANBERRA_x_COURAGE_DH_LINE","a-0000093","branching",1,2,6,0,3,9,0.666666667,0,"0.007843137",6,1,5,12,0.5,0.083333333,0.005681818,0,1,2,3,-0.166666667,0.083333333,"-0.002161319"
"CANBERRA_x_COURAGE_DH_LINE","a-0000093","branching",2,3,5,0,4,9,0.555555556,0,"0.006535948",6,1,4,11,0.545454545,0.090909091,0.006198347,1,1,0,2,-0.01010101,0.090909091,"-0.000337601"
"HANSEN_X_GASPARD_DH_LINE","a-0000096","branching",1,1,3,0,5,8,0.375,0,"0.004411765",3,0,3,6,0.5,0,0.005681818,0,0,-2,-2,0.125,0,"0.001270053"
"HANSEN_X_GASPARD_DH_LINE","a-0000096","branching",1,2,3,0,4,7,0.428571429,0,"0.00487013",4,0,3,7,0.571428571,0,0.006349206,1,0,-1,0,0.142857143,0,"0.001479076"
"HANSEN_X_GASPARD_DH_LINE","a-0000096","branching",2,3,3,1,0,4,0.75,0.25,"0.008823529",4,2,0,6,0.666666667,0.333333333,0.007575758,1,1,0,2,-0.083333333,0.083333333,"-0.001247772"
"MADRIGAL_x_RECITAL_DH_LINE","a-0000097","branching",1,1,6,0,1,7,0.857142857,0,"0.010327022",5,2,1,8,0.625,0.25,0.00753012,-1,2,0,1,-0.232142857,0.25,"-0.002796902"
"MADRIGAL_x_RECITAL_DH_LINE","a-0000097","branching",1,2,5,0,2,7,0.714285714,0,"0.008605852",5,3,0,8,0.625,0.375,0.007352941,0,3,-2,1,-0.089285714,0.375,"-0.001252911"
"MADRIGAL_x_RECITAL_DH_LINE","a-0000097","branching",2,3,5,2,0,7,0.714285714,0.285714286,"0.008605852",7,1,0,8,0.875,0.125,0.010542169,2,-1,0,1,0.160714286,-0.160714286,"0.001936317"
"RAFAL_DH1","a-0000098","branching",1,1,4,1,0,5,0.8,0.2,"0.009090909",5,2,1,8,0.625,0.25,0.007102273,1,1,1,3,-0.175,0.05,"-0.001988636"
"RAFAL_DH1","a-0000098","branching",1,2,4,1,0,5,0.8,0.2,"0.009090909",5,4,2,11,0.454545455,0.363636364,0.005165289,1,3,2,6,-0.345454545,0.163636364,"-0.00392562"
"RAFAL_DH1","a-0000098","branching",2,3,4,1,0,5,0.8,0.2,"0.009090909",7,1,0,8,0.875,0.125,0.009943182,3,0,0,3,0.075,-0.075,"0.000852273"
"EUROL","a-0000101","branching",1,1,4,0,4,8,0.5,0,"0.005681818",2,0,4,6,0.333333333,0,0.003623188,-2,0,0,-2,-0.166666667,0,"-0.00205863"
"EUROL","a-0000101","branching",1,2,2,1,1,4,0.5,0.25,"0.005555556",3,0,5,8,0.375,0,0.004166667,1,-1,4,4,-0.125,-0.25,"-0.001388889"
"EUROL","a-0000101","branching",2,3,NA,NA,NA,NA,NA,NA,"",2,0,3,5,0.4,0,0.004444444,NA,NA,NA,NA,NA,NA,""
"Lesira","a-0000102","branching",1,1,6,0,0,6,1,0,"0.012048193",5,2,1,8,0.625,0.25,0.00753012,-1,2,1,2,-0.375,0.25,"-0.004518072"
"Lesira","a-0000102","branching",1,2,5,1,0,6,0.833333333,0.166666667,"0.010040161",5,2,4,11,0.454545455,0.181818182,0.005165289,0,1,4,5,-0.378787879,0.015151515,"-0.004874871"
"Lesira","a-0000102","branching",2,3,5,0,9,14,0.357142857,0,"0.004409171",7,2,3,12,0.583333333,0.166666667,0.007201646,2,2,-6,-2,0.226190476,0.166666667,"0.002792475"
