Taxa	Q1	Q2	Q3	Q4
a-0000028	0	0	0.826	0.174
a-0000040	0	0.001	0.999	0
a-0000053	0	0.154	0.748	0.098
a-0000055	0.001	0	0.913	0.086
a-0000090	0.001	0.268	0.646	0.085
a-0000091	0	0.319	0.681	0
a-0000093	0	0	0.945	0.055
a-0000096	0	0	0.999	0.001
a-0000097	0	0	0.999	0.001
a-0000098	0.001	0.001	0.996	0.002
a-0000099	0.003	0.063	0.767	0.167
a-0000101	0.024	0.071	0.836	0.069
a-0000102	0	0.355	0.036	0.609
a-0000105	0	0	0.879	0.121
a-0000106	0.006	0.031	0.841	0.122
a-0000107	0.006	0.369	0.62	0.005
a-0000108	0.001	0.007	0.992	0
a-0000109	0.003	0.018	0.956	0.023
a-0000113	0.001	0.002	0.846	0.151
a-0000133	0	0.074	0.925	0.001
a-0000137	0	0	0.801	0.199
a-0000139	0.001	0.025	0.972	0.002
a-0000150	0	0.275	0.724	0.001
a-0000160	0	0.124	0.875	0.001
a-0000168	0.008	0.078	0.914	0
a-0000172	0.016	0.067	0.913	0.004
a-0000185	0.013	0.307	0.679	0.001
a-0000186	0.133	0.114	0.618	0.135
a-0000190	0.05	0.258	0.69	0.002
a-0000193	0.002	0.428	0.569	0.001
a-0000194	0.002	0.242	0.699	0.057
a-0000203	0	0.738	0.213	0.049
a-0000204	0.004	0.002	0.993	0.001
a-0000206	0.014	0.002	0.984	0
a-0000207	0	0	0.999	0.001
a-0000208	0.067	0.534	0.384	0.015
a-0000211	0.106	0.47	0.329	0.095
a-0000212	0.06	0.187	0.75	0.003
a-0000213	0.006	0.001	0.989	0.004
a-0000218	0.001	0.002	0.995	0.002
a-0000221	0	0.133	0	0.867
a-0000226	0.001	0.998	0.001	0
a-0000227	0	0.823	0.005	0.172
a-0000234	0.155	0.84	0.005	0
a-0000235	0	0	0.411	0.589
a-0000236	0.015	0.001	0.028	0.956
a-0000237	0	0	0	1
a-0000242	0.007	0.006	0.57	0.417
a-0000248	0.006	0.008	0.197	0.789
a-0000253	0	0.291	0.001	0.708
a-0000254	0.001	0.279	0.007	0.713
a-0000255	0	0.207	0.019	0.774
a-0000256	0.003	0.423	0.127	0.447
a-0000257	0	0.366	0.001	0.633
a-0000258	0.133	0.804	0.063	0
a-0000260	0.001	0.001	0.089	0.909
a-0000261	0	0.009	0.118	0.873
a-0000265	0.01	0.071	0.071	0.848
a-0000266	0.042	0.254	0.703	0.001
a-0000267	0.003	0.002	0.097	0.898
a-0000268	0.004	0.023	0.048	0.925
a-0000270	0.05	0.063	0.154	0.733
a-0000271	0.001	0.028	0.08	0.891
a-0000272	0.001	0.019	0.07	0.91
a-0000280	0.075	0.261	0.663	0.001
a-0000296	0.001	0.359	0.017	0.623
a-0000382	0.004	0.065	0.136	0.795
a-0000383	0	0.138	0.135	0.727
a-0000389	0.759	0.239	0.001	0.001
a-0000398	0.001	0.015	0.982	0.002
a-0000399	0.998	0	0.001	0.001
a-0000402	0.998	0	0.001	0.001
a-0000403	0.897	0.032	0.063	0.008
a-0000406	0.994	0	0.003	0.003
a-0000424	0.836	0.163	0.001	2.86229E-17
a-0000426	0.999	0.001	0	8.67362E-19
a-0000497	0	0.176	0.823	0.001
a-0000498	0	0	0.954	0.046
a-0000499	0	0	0.999	0.001
a-0000500	0.001	0.013	0.935	0.051
a-0000501	0.137	0.862	0.001	0
a-0000502	0	0.237	0.762	0.001
a-0000505	0.001	0.004	0.933	0.062
a-0000506	0.022	0.006	0.946	0.026
a-0000508	0.094	0.844	0.062	5.55112E-17
a-0000509	0	0.199	0.8	0.001
a-0000510	0	0.314	0.685	0.001
a-0000511	0.001	0.001	0.826	0.172
a-0000512	0	0	0.979	0.021
a-0000514	0.001	0.675	0.147	0.177
a-0000515	0.001	0	0.934	0.065
a-0000516	0.001	0.045	0.952	0.002
a-0000517	0.002	0.895	0.101	0.002
a-0000518	0.074	0.793	0.017	0.116
