"genotype_id","location","rep","trait"
"a-0000028",1,1,5.47722557505166
"a-0000028",1,2,6.46669790696921
"a-0000028",2,3,5.68398560079105
"a-0000040",1,1,5.47722557505166
"a-0000040",1,2,6.77003200435567
"a-0000040",2,3,5.47722557505166
"a-0000055",1,1,6.02625833166817
"a-0000055",1,2,5.15474815873676
"a-0000055",2,3,5.90243252312129
"a-0000090",1,1,4.44828439288677
"a-0000090",1,2,5.47722557505166
"a-0000090",2,3,NA
"a-0000093",1,1,NA
"a-0000093",1,2,NA
"a-0000093",2,3,4.65058136043226
"a-0000096",1,1,6.19139187420728
"a-0000096",1,2,6.25832778623811
"a-0000096",2,3,5.47722557505166
"a-0000097",1,1,6.37088967727428
"a-0000097",1,2,5.47722557505166
"a-0000097",2,3,5.47722557505166
"a-0000098",1,1,5.47722557505166
"a-0000098",1,2,5.55277708358619
"a-0000098",2,3,5.400617248056
"a-0000101",1,1,5.47722557505166
"a-0000101",1,2,6.10715132365328
"a-0000101",2,3,NA
"a-0000102",1,1,NA
"a-0000102",1,2,5.47722557505166
"a-0000102",2,3,NA
"a-0000105",1,1,NA
"a-0000105",1,2,NA
"a-0000105",2,3,NA
"a-0000106",1,1,NA
"a-0000106",1,2,NA
"a-0000106",2,3,NA
"a-0000107",1,1,6.96630546057234
"a-0000107",1,2,5.93442425935322
"a-0000107",2,3,5.47722557505166
"a-0000108",1,1,7.1790292895349
"a-0000108",1,2,5.7682516649328
"a-0000108",2,3,6.85004211081947
"a-0000109",1,1,5.0090826585314
"a-0000109",1,2,7.74596669241483
"a-0000109",2,3,6.96143221255511
"a-0000113",1,1,NA
"a-0000113",1,2,NA
"a-0000113",2,3,NA
"a-0000133",1,1,6.19139187420728
"a-0000133",1,2,5.47722557505166
"a-0000133",2,3,5.47722557505166
"a-0000137",1,1,6.37088967727428
"a-0000137",1,2,5.557189303056
"a-0000137",2,3,5.90243252312129
"a-0000139",1,1,6.10715132365328
"a-0000139",1,2,6.10715132365328
"a-0000139",2,3,6.1791438071953
"a-0000150",1,1,5.43358164749551
"a-0000150",1,2,7.1471029858258
"a-0000150",2,3,5.91607978394477
"a-0000160",1,1,5.86615416776614
"a-0000160",1,2,4.91227389097961
"a-0000160",2,3,NA
"a-0000168",1,1,5.71376047975412
"a-0000168",1,2,5.88960949469487
"a-0000168",2,3,5.8198769523075
"a-0000172",1,1,6.58946527648488
"a-0000172",1,2,6.30734561523308
"a-0000172",2,3,5.68398560079105
"a-0000185",1,1,6.43976616268013
"a-0000185",1,2,6.10715132365328
"a-0000185",2,3,5.78174466921534
"a-0000193",1,1,NA
"a-0000193",1,2,NA
"a-0000193",2,3,6.06976978558495
"a-0000203",1,1,6.52928625195741
"a-0000203",1,2,6.09704133576278
"a-0000203",2,3,5.47722557505166
"a-0000206",1,1,5.98912057150296
"a-0000206",1,2,5.0090826585314
"a-0000206",2,3,4.17521645307162
"a-0000207",1,1,NA
"a-0000207",1,2,NA
"a-0000207",2,3,NA
"a-0000208",1,1,NA
"a-0000208",1,2,NA
"a-0000208",2,3,NA
"a-0000212",1,1,5.21173312344368
"a-0000212",1,2,NA
"a-0000212",2,3,NA
"a-0000213",1,1,6.90268489937068
"a-0000213",1,2,6.77003200435567
"a-0000213",2,3,NA
"a-0000218",1,1,5.40654873463654
"a-0000218",1,2,4.91227389097961
"a-0000218",2,3,NA
"a-0000221",1,1,5.27798663033547
"a-0000221",1,2,5.59502884979157
"a-0000221",2,3,5.85540043805716
"a-0000226",1,1,4.81931597221016
"a-0000226",1,2,5.27798663033547
"a-0000226",2,3,NA
"a-0000227",1,1,5.47722557505166
"a-0000227",1,2,NA
"a-0000227",2,3,NA
"a-0000234",1,1,5.230003936901
"a-0000234",2,2,5.29759531580131
"a-0000234",2,3,5.47722557505166
"a-0000236",1,1,NA
"a-0000236",2,2,5.13455318114439
"a-0000236",2,3,5.47722557505166
"a-0000237",1,1,4.81931597221016
"a-0000237",2,2,NA
"a-0000237",2,3,NA
"a-0000254",1,1,5.8689389535077
"a-0000254",2,2,NA
"a-0000254",2,3,5.1234753829798
"a-0000255",1,1,5.47722557505166
"a-0000255",2,2,5.18618855422747
"a-0000255",2,3,5.1754916954817
"a-0000260",1,1,NA
"a-0000260",2,2,NA
"a-0000260",2,3,5.29150262118427
"a-0000268",1,1,NA
"a-0000268",2,2,4.98272879153582
"a-0000268",2,3,NA
"a-0000270",1,1,5.03115294937453
"a-0000270",2,2,NA
"a-0000270",2,3,NA
"a-0000271",1,1,5.39096466321196
"a-0000271",2,2,NA
"a-0000271",2,3,5.04524978965363
"a-0000272",1,1,5.66294671615406
"a-0000272",2,2,5.38196221001226
"a-0000272",2,3,5.47722557505166
"a-0000280",1,1,4.93710441453287
"a-0000280",2,2,4.91869376867477
"a-0000280",2,3,NA
"a-0000398",1,1,6.67791843166716
"a-0000398",2,2,6.67791843166716
"a-0000398",2,3,5.7512540449888
"a-0000403",1,1,NA
"a-0000403",2,2,4.999999999
"a-0000403",2,3,5.84276741108184
"a-0000497",1,1,NA
"a-0000497",2,2,5.75828921989856
"a-0000497",2,3,5.52122006081989
"a-0000498",1,1,6.34921254960015
"a-0000498",2,2,NA
"a-0000498",2,3,6.14344654733807
"a-0000499",1,1,4.72499538729934
"a-0000499",2,2,NA
"a-0000499",2,3,5.47722557505166
"a-0000500",1,1,NA
"a-0000500",2,2,5.66294671615406
"a-0000500",2,3,5.66946709400452
"a-0000501",1,1,4.88093530073899
"a-0000501",2,2,5.1234753829798
"a-0000501",2,3,NA
"a-0000502",1,1,NA
"a-0000502",2,2,NA
"a-0000502",2,3,NA
"a-0000503",1,1,NA
"a-0000503",2,2,NA
"a-0000503",2,3,NA
"a-0000504",1,1,NA
"a-0000504",2,2,NA
"a-0000504",2,3,NA
"a-0000505",1,1,6.02625833166817
"a-0000505",2,2,NA
"a-0000505",2,3,5.98609499757563
"a-0000506",1,1,5.87367006223537
"a-0000506",2,2,5.83558515060829
"a-0000506",2,3,NA
"a-0000508",1,1,NA
"a-0000508",2,2,NA
"a-0000508",2,3,5.22232967840982
"a-0000509",1,1,5.47722557505166
"a-0000509",2,2,5.79968651135559
"a-0000509",2,3,5.74456264653803
"a-0000510",1,1,6.35883500414974
"a-0000510",2,2,NA
"a-0000510",2,3,5.98912057150296
"a-0000511",1,1,5.47722557505166
"a-0000511",2,2,6.86606562231967
"a-0000511",2,3,5.55277708358619
"a-0000512",1,1,NA
"a-0000512",2,2,6.37535577830759
"a-0000512",2,3,6.55743852353951
"a-0000514",1,1,5.47722557505166
"a-0000514",2,2,NA
"a-0000514",2,3,5.47722557505166
"a-0000515",1,1,5.90464773377718
"a-0000515",2,2,7.24568837309472
"a-0000515",2,3,5.94849690005803
"a-0000516",1,1,6.77003200435567
"a-0000516",2,2,NA
"a-0000516",2,3,NA
"a-0000517",1,1,NA
"a-0000517",2,2,5.47722557505166
"a-0000517",2,3,5.47722557505166
"a-0000518",1,1,4.72077475527058
"a-0000518",2,2,4.91869376867477
"a-0000518",2,3,4.91869376867477
"a-0000078",1,1,NA
"a-0000078",2,2,NA
"a-0000078",2,3,5.47722557505166
