unigene,A Chr,C Chr,AGI
Cab020598.1,A01,.,AT3G04630.3
Cab047254.1,A01,.,AT4G38360.2
Cab020597.1,A01,.,AT4G38360.2
Cab020596.1,A01,.,AT4G38250.1
Cab020595.2,A01,.,AT4G38220.1
Cab020594.1,A01,.,AT4G38210.1
Cab020593.1,A01,.,AT4G38190.1
Cab020592.1,A01,.,AT4G38400.1
Cab020591.1,A01,.,AT4G38460.1
Cab020590.1,A01,.,AT4G38470.1
Cab020589.1,A01,.,0
Cab020588.1,A01,.,AT4G38670.3
Cab020586.1,A01,.,0
Cab020582.1,A01,.,0
Cab020581.1,A01,.,0
Cab020580.1,A01,.,AT4G38770.1
Cab020579.1,A01,.,0
Cab020578.1,A01,.,0
Cab020577.1,A01,.,AT4G38860.1
Cab020576.1,A01,.,AT4G38880.1
BnaA01g05200D,A01,.,0
Cab020575.1,A01,.,AT4G38890.1
Cab020574.1,A01,.,AT2G21240.2
Cab020573.1,A01,.,AT4G38950.2
Cab020572.1,A01,.,AT4G38970.2
Cab020571.1,A01,.,AT4G39000.1
Cab020570.1,A01,.,AT4G39010.1
Cab020569.1,A01,.,AT4G39030.1
Cab020568.1,A01,.,AT4G39070.1
Cab020567.1,A01,.,AT4G39080.1
BnaA01g05310D,A01,.,0
Cab020566.1,A01,.,AT4G39080.1
Cab020565.1,A01,.,AT4G39090.1
BnaA01g05330D,A01,.,AT4G39120.1
BnaA01g05340D,A01,.,AT4G39110.1
BnaA01g05350D,A01,.,AT4G39120.1
Cab020564.1,A01,.,AT4G39110.1
Cab020563.1,A01,.,0
Cab020562.1,A01,.,AT4G39140.5
Cab020561.1,A01,.,0
Cab020560.1,A01,.,AT4G39150.2
Cab020559.1,A01,.,AT4G39200.1
Cab020558.1,A01,.,AT4G39250.1
Cab020557.1,A01,.,0
Cab020556.1,A01,.,0
Cab020555.1,A01,.,AT4G39320.1
Cab020554.1,A01,.,AT4G39340.1
Cab020553.1,A01,.,AT4G39350.1
Cab020552.1,A01,.,0
BnaA01g05470D,A01,.,0
Cab020551.1,A01,.,AT4G39363.1
Cab020550.1,A01,.,AT4G39390.3
Cab020549.1,A01,.,AT4G39400.1
Cab020548.1,A01,.,0
Cab020547.1,A01,.,AT4G39410.1
Cab020546.2,A01,.,AT4G39420.2
Cab020545.1,A01,.,AT4G39510.1
Cab020544.1,A01,.,AT4G39520.1
Cab020543.1,A01,.,AT4G39540.2
Cab020542.1,A01,.,0
Cab020541.1,A01,.,0
Cab020540.1,A01,.,0
Cab020539.1,A01,.,AT5G38670.1
Cab020538.1,A01,.,0
Cab020537.1,A01,.,0
Cab020534.1,A01,.,0
Cab020533.1,A01,.,0
Cab020532.1,A01,.,AT1G62020.1
Cab020531.1,A01,.,AT4G39620.2
Cab020530.1,A01,.,AT4G39640.2
Cab020529.1,A01,.,0
BnaA01g05650D,A01,.,0
Cab020528.1,A01,.,AT4G39640.2
Cab020527.1,A01,.,AT4G39660.1
Cab020526.1,A01,.,AT4G39680.2
BnaA01g05680D,A01,.,0
Cab020525.2,A01,.,AT4G39690.1
Cab020524.1,A01,.,AT4G39700.1
Cab020523.2,A01,.,AT4G39710.1
Cab020522.1,A01,.,AT4G39720.1
Cab020521.1,A01,.,AT4G39740.1
Cab020520.1,A01,.,0
Cab020519.1,A01,.,AT4G39770.1
Cab020518.1,A01,.,0
Cab020517.1,A01,.,AT4G39780.1
Cab020516.1,A01,.,AT4G39790.1
Cab020515.1,A01,.,0
Cab020514.4,A01,.,AT4G39800.1
Cab020513.1,A01,.,AT4G39810.1
Cab020512.1,A01,.,0
Cab020511.1,A01,.,AT4G39840.1
Cab020510.1,A01,.,AT4G39860.1
Cab020509.1,A01,.,AT4G39900.1
Cab020508.1,A01,.,AT4G39910.1
Cab020507.1,A01,.,AT4G39940.1
Cab020506.1,A01,.,AT4G39950.1
Cab020505.1,A01,.,AT4G39952.1
Cab020504.6,A01,.,AT4G39960.1
Cab020503.1,A01,.,AT4G39980.1
Cab020502.1,A01,.,AT5G65270.1
Cab020501.1,A01,.,0
Cab020500.2,A01,.,AT4G40000.1
Cab020499.2,A01,.,AT4G40010.1
Cab020498.1,A01,.,AT4G40020.1
Cab020497.1,A01,.,AT5G10980.1
Cab020496.1,A01,.,0
Cab047808.1,A01,.,0
Cab020495.1,A01,.,AT4G40045.1
Cab047807.1,A01,.,AT4G40045.1
Cab020494.1,A01,.,AT4G40050.1
Cab020493.1,A01,.,0
Cab020492.1,A01,.,AT4G40060.1
Cab020491.1,A01,.,AT4G40080.1
Cab020490.1,A01,.,0
Cab020489.1,A01,.,0
Cab020488.1,A01,.,AT4G38050.1
Cab020487.1,A01,.,AT4G38040.1
Cab020486.1,A01,.,AT4G38030.1
Cab020485.1,A01,.,AT4G38020.1
Cab020484.1,A01,.,0
Cab020483.1,A01,.,AT4G37980.1
Cab020482.1,A01,.,AT4G37970.1
Cab020481.1,A01,.,AT4G37940.1
Cab020480.2,A01,.,AT4G37930.1
Cab020479.1,A01,.,AT4G37920.1
Cab020478.1,A01,.,AT4G37910.1
Cab020477.1,A01,.,AT4G37880.1
Cab020476.1,A01,.,AT4G37870.1
Cab020475.1,A01,.,AT4G37860.1
Cab020474.1,A01,.,AT4G37850.1
Cab020473.1,A01,.,AT4G37840.1
Cab020472.1,A01,.,0
Cab020471.1,A01,.,0
Cab020470.1,A01,.,0
Cab020469.1,A01,.,AT4G37790.1
Cab020468.1,A01,.,AT4G37780.1
Cab020467.1,A01,.,AT4G37770.1
Cab020466.1,A01,.,AT4G37760.1
Cab020465.1,A01,.,AT4G37750.1
Cab020464.1,A01,.,AT4G37740.1
Cab020463.1,A01,.,AT4G37730.1
Cab020462.1,A01,.,AT4G37680.2
BnaA01g00330D,A01,.,0
